name,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,postalCode
Smart_Cabrio_TÜV_bis_07/17,3000,cabrio,1975,automatik,61,fortwo,80000,benzin,smart,nein,12055
Seat_inca_1.9SDI___LKW_Zulassung___TÜV_NEU,2399,,1975,manuell,64,andere,125000,,seat,nein,33397
VW_Derby_Bj_80__Scheunenfund,0,limousine,1976,manuell,50,andere,40000,benzin,volkswagen,nein,19348
TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,1,suv,1976,manuell,286,,150000,,sonstige_autos,,53721
Bmw_316i_compact.____200€,200,coupe,1976,manuell,102,3er,150000,benzin,bmw,,23560
Audi_A8_3.0_TDI_quattro,7499,limousine,1976,automatik,232,a8,150000,diesel,audi,ja,71711
Skoda_Fabia_1.2,5500,kleinwagen,1976,manuell,60,fabia,70000,benzin,skoda,nein,57076
VW_Kaefer_1302L_Bodengruppe_mit_H_Zulassung__Original_Papiere,500,,1976,manuell,44,kaefer,5000,benzin,volkswagen,,16761
BMW_325_i_Cabrio_wenig_Kilometer,14999,cabrio,1977,manuell,218,3er,50000,benzin,bmw,nein,1129
Opel_Astra_1.4_mit_vielen_Extras!!!!,10900,,1977,manuell,101,astra,50000,,opel,nein,63607
VW_T2a__Bus__Modell_241__Schiebedach__Oldtimer,4800,,1977,,50,transporter,150000,,volkswagen,,99974
Honda_HRV_reserviert!!!,2100,suv,1977,manuell,105,andere,150000,benzin,honda,nein,85244
Mercedes_Benz_190,1280,limousine,1977,automatik,109,andere,150000,benzin,mercedes_benz,,86163
Opel_astra_g_coupe_1.8_liter_benziner,1200,coupe,1978,,0,astra,150000,,opel,,47249
Volkswagen_T3_andere,1990,bus,1978,manuell,50,transporter,5000,benzin,volkswagen,nein,87471
BMW_520i_E39,2300,,1978,manuell,150,5er,150000,,bmw,nein,79341
Ford_Fiesta,750,kleinwagen,1978,manuell,50,fiesta,150000,benzin,ford,nein,70327
Mercedes_Benz_C_180_T_Kompressor_Avantgarde,7999,kombi,1978,manuell,156,c_klasse,150000,benzin,mercedes_benz,nein,83355
Volkswagen_T3_Bus_1982_Oldtimer_Super_Zustand_Tuev_Neu,9999,bus,1978,manuell,69,transporter,50000,benzin,volkswagen,nein,49377
Nissan_Micra_1.2_CVT,7999,kleinwagen,1978,manuell,80,micra,40000,benzin,nissan,nein,46145
MB_Vito_Transporter_108_CDI,1400,andere,1979,manuell,82,vito,150000,diesel,mercedes_benz,nein,4668
Golf_1_Cabrio_zum_fertigstellen___Tuev_09/16_Look,1450,cabrio,1979,manuell,0,golf,70000,benzin,volkswagen,,73457
Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._TÜV/AU_NEU,5000,bus,1979,manuell,109,sprinter,150000,diesel,mercedes_benz,nein,26382
Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,20300,limousine,1979,automatik,204,e_klasse,80000,diesel,mercedes_benz,nein,51491
Opel_Astra_F_Cabrio,150,,1979,manuell,75,astra,150000,benzin,opel,ja,78315
muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,250,kombi,1980,manuell,155,156,150000,benzin,alfa_romeo,ja,8396
Bastler_Fahrzeug_mit_Rest_Tuev,350,kleinwagen,1980,manuell,54,,150000,,fiat,ja,45665
Ford_Escort_CLX,600,limousine,1980,manuell,75,escort,100000,benzin,ford,ja,37359
Mercedes_Benz_C_220_T_CDI_Avantgarde,3300,kombi,1980,manuell,150,c_klasse,150000,diesel,mercedes_benz,ja,29221
SUBARU_FORESTER,1600,kombi,1980,automatik,122,forester,150000,benzin,subaru,nein,87497
Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,8000,suv,1980,manuell,185,xc_reihe,150000,diesel,volvo,,96472
Mitsubishi_L_400,1800,bus,1980,manuell,87,andere,150000,diesel,mitsubishi,nein,24116
Fiesta_Titanium_1.25,6800,kleinwagen,1980,manuell,82,fiesta,60000,benzin,ford,nein,51065
Renault_Scenic,2990,bus,1980,manuell,113,scenic,150000,benzin,renault,nein,41836
MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1€,1,limousine,1980,manuell,113,e_klasse,150000,diesel,mercedes_benz,nein,40589
A4_Diesel_Leder_Top___NAVI,2400,limousine,1980,manuell,0,a4,150000,diesel,audi,,40210
Senator_A2__3_0E__180PS__CD_Ausstattung.,1222,limousine,1980,automatik,180,andere,150000,benzin,opel,,57290
FORD_KA___TÜV_ABGELAUFEN,250,,1980,,60,ka,150000,,ford,,51427
Audi_A1_1.2_TFSI_S_Line,14500,kleinwagen,1980,manuell,86,a1,60000,benzin,audi,nein,31582
unfall_Opel_insignia_voll_Ausstattung__TÜV_neu__ideal_fuer_Bastler,8390,,1980,,0,insignia,150000,,opel,,29221
Golf_1_Diesel_Automatik,1100,kleinwagen,1980,automatik,54,golf,150000,diesel,volkswagen,ja,54536
BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,23490,limousine,1980,automatik,143,3er,40000,diesel,bmw,nein,49356
Volkswagen_Golf_GTI_Pirelli_W65,16500,coupe,1980,manuell,111,golf,150000,benzin,volkswagen,nein,86977
Mercedes_A_Klasse____Top_Zustand___TÜV/AU___neu_!_Halbautomatik,1700,kleinwagen,1981,automatik,102,a_klasse,125000,benzin,mercedes_benz,nein,12305
