2014,32,27,0,0,0," 17,226,000 "," 7,479,622,000 "," 8,887,000 ", 0.157 , -   , 0.0036 , -   , 0.304 , -   
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      Notes,,,2014 data are preliminary.,,,,,,,,,,,
,,,"Flight hours, miles, and departures are compiled by the Federal Aviation Administration.",,,,,,,,,,,
,,,"Since March 20, 1997, aircraft with 10 or more seats used in scheduled passenger service have been operated under 14 CFR 121.",,,,,,,,,,,
,,,"Years followed by the symbol * are those in which an illegal act was responsible for an occurrence in this category.  These acts, such as",,,,,,,,,,,
,,,     suicide and sabotage are included in the totals for accidents and fatalities but are excluded for the purpose of accident rate computation.,,,,,,,,,,,
,,,     Table 12 contains a list of illegal act occurrences involving US air carriers for the period covered by this table.  Other than the persons aboard ,,,,,,,,,,,
,,,"     aircraft who were killed, fatalities resulting from the September 11, 2001 terrorist acts are excluded from this table.",,,,,,,,,,,
