name,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,postalCode
Volkswagen_vw_t4_Einzelstueck,4699,bus,1996,manuell,110,transporter,150000,benzin,volkswagen,nein,79713
Motorschaden_steuerrichmen_gerissen,400,limousine,2000,manuell,144,omega,150000,,opel,ja,45968
Volkswagen_Polo_1.4_FSI_Team,9290,kleinwagen,2010,manuell,86,polo,40000,benzin,volkswagen,nein,35630
Mercedes_Benz_Kabrio__Limousine___mit_Gas_Umbau....,7000,limousine,2003,manuell,120,slk,150000,benzin,mercedes_benz,nein,57578
Servo_Klima_Zv__usw,1199,kleinwagen,2000,manuell,60,twingo,150000,benzin,renault,nein,28832
Ford_Focus_1_6l*Klima*TÜV*,1750,limousine,2002,manuell,75,focus,125000,benzin,ford,nein,33330
Volkswagen_Golf_CL,1000,limousine,1990,manuell,54,golf,150000,benzin,volkswagen,nein,47447
BMW_740i,1800,limousine,1995,automatik,286,7er,150000,benzin,bmw,ja,77866
VW_Golf_6_1.4_Comfortline,8000,,2009,manuell,0,golf,100000,benzin,volkswagen,nein,94139
Opel_Combo_1.7_DTI___Kasten___Lkw_Zulassung___Euro3,1100,bus,2003,manuell,75,combo,150000,diesel,opel,nein,96224
Mercedes_Benz_E_270_T_CDI,2990,kombi,2001,automatik,170,e_klasse,150000,diesel,mercedes_benz,nein,53520
Opel_Corsa_1.0_TÜV_bis_01/17,300,kleinwagen,2000,manuell,54,corsa,150000,benzin,opel,,59379
BMW_E36_328i_Coupe_Schalter,3390,,2000,,0,3er,150000,,bmw,,45739
Volkswagen_Passat,2750,kombi,2001,manuell,131,passat,150000,diesel,volkswagen,nein,90471
Fabia_II_Combi_Greenline_1_2_TDI_DPF_mit_Gebrauchtwagengarantie,6990,kombi,2012,manuell,75,fabia,100000,diesel,skoda,nein,44894
Audi_Cabriolet_Typ_89_2.0L,4800,cabrio,1996,manuell,116,80,150000,benzin,audi,nein,38300
Mercedes_Benz_C_220_CDI_DPF_Automatik_Avantgarde,14499,limousine,2007,automatik,170,c_klasse,125000,diesel,mercedes_benz,nein,13439
Audi_80_5_Zylinder_b4_liebhaberfahrzeug,1450,limousine,1992,manuell,136,,150000,,audi,nein,38709
Verkaufe_ein_toppen_golf5,4300,limousine,2005,manuell,90,golf,150000,diesel,volkswagen,,28779
Honda_Civic_1.6i,2499,limousine,2003,manuell,110,civic,150000,benzin,honda,,42853
Alfa_Romeo_147_1.9_JTD_8V_M_Jet__DPF,3450,limousine,2007,manuell,120,147,150000,diesel,alfa_romeo,nein,86678
Mercedes_Benz_C180_mit_TÜV,350,limousine,1996,manuell,122,c_klasse,150000,benzin,mercedes_benz,,49685
BMW_530d_touring,3550,kombi,2000,automatik,184,5er,150000,diesel,bmw,nein,72525
Sehr_gepflegter_unfallfreier_Ford_C_Max_Style+_1_6_DPF_mit_AHK,8250,bus,2010,manuell,109,c_max,125000,diesel,ford,nein,35606
renault_clio_TÜV_NEU_bis_03_2018_inzahlungname_moeglich,800,kleinwagen,1998,manuell,54,clio,150000,benzin,renault,nein,34516
Audi_A4_b5_Avant_TÜV_10/17,1500,kombi,1996,manuell,126,a4,150000,,audi,nein,24873
Mercedes_Benz_GLK_250_BlueTEC_4Matic_Standhzg_Alcantara_Voll,41900,suv,2014,automatik,204,glk,40000,diesel,mercedes_benz,nein,82131
BMW_330d_schadow_line,4200,kombi,2003,automatik,204,3er,150000,diesel,bmw,nein,53757
Audi_100_c3_typ_44_bj_1985_quattro_krarosse_mit_achsen,150,,1985,,0,100,150000,benzin,audi,,87616
Volkswagen_Golf_3,1000,kleinwagen,1996,manuell,75,golf,150000,benzin,volkswagen,nein,38640
Krankenfahrstuhl_25_kmh__zu_verkaufen.,300,,2005,manuell,0,punto,40000,,fiat,ja,26215
Peugeot_307_90_Grand_Filou,800,limousine,2004,manuell,88,3_reihe,150000,benzin,peugeot,ja,66333
Mercedes_C_200_Kompressor,2300,limousine,2000,manuell,160,c_klasse,150000,benzin,mercedes_benz,nein,40231
Audi_A6_Avant_2_5tdi*Navi*Automatik*Euro4*,4000,kombi,2003,automatik,163,a6,150000,diesel,audi,nein,22525
POLO_1.2_KILIMA_WIE_NEU,6799,kleinwagen,2009,,60,,20000,benzin,volkswagen,nein,89077
Opel_meriva_1.6_16_v_lpg__z16xe_no_OPC,0,bus,2004,manuell,101,meriva,150000,lpg,opel,ja,27432
BMW_Z4_roadster_2.2i_M_Paket__Klima__Xenon,9450,cabrio,2004,manuell,170,z_reihe,150000,benzin,bmw,nein,65549
Fiat_Scudo_Bulli_Werkstattwagen_Diesel,0,,2006,,0,andere,5000,,fiat,,44867
KIA_SPORTAGE,14500,,2017,manuell,136,sportage,125000,diesel,kia,nein,49696
Mercedes_Benz_C_270_CDI_Elegance,6890,limousine,2003,manuell,170,c_klasse,125000,diesel,mercedes_benz,nein,55743
Kia_Sorento__coole_Farbe_schaut......,7500,suv,2007,automatik,194,sorento,5000,benzin,kia,,34314
Volkswagen_Golf_Function,800,limousine,1993,manuell,0,golf,10000,benzin,volkswagen,ja,65929
A_210_Evolution_AMG_Styling_absoluter_Festpreis,1499,kleinwagen,2002,manuell,140,a_klasse,150000,,mercedes_benz,nein,16727
is_ales_ok,500,kleinwagen,1999,manuell,0,,150000,benzin,renault,nein,26969
VW_Caddy_Lkw_Zulassung,1495,kombi,2001,,64,,150000,diesel,volkswagen,,99086
Mitsubishi_Space_ohne_TÜV,300,kleinwagen,1994,manuell,0,andere,150000,benzin,mitsubishi,,26340
OPEL_astra_G_TÜV_NEU,1200,,2018,manuell,75,astra,150000,,opel,nein,15344
VW_Golf_CL__2er_Golf____TÜV_bis_02/2018,850,limousine,1989,manuell,69,golf,125000,benzin,volkswagen,nein,95485
Volkswagen_T5_Transporter,8500,bus,2007,manuell,131,transporter,150000,diesel,volkswagen,nein,17291
Volvo_v40_mit_klima,300,kombi,1998,manuell,0,v40,150000,benzin,volvo,nein,47137
Honda_Civic_1.4i,1500,limousine,2000,manuell,75,civic,125000,benzin,honda,nein,12163
BMW_E34_518I,950,limousine,1995,manuell,115,5er,150000,benzin,bmw,,27751
Seat_Ibiza_1.2_12V,3200,kleinwagen,2004,manuell,64,ibiza,80000,benzin,seat,nein,29633
Ford_C_MAX_1.6_TDCi_Titanium__7_Sitzer_Topausstattung,11890,bus,2011,manuell,116,c_max,150000,diesel,ford,nein,97737
BMW_323_Ci_Automatik__Sitzheizung__Sportauspuff__Alufelgen_17Zoll,2900,coupe,2000,automatik,170,3er,150000,benzin,bmw,nein,53332
Ford_Mustang_GT_V8_Cabrio_Premium_Neuwagenzustand,19750,cabrio,2006,manuell,305,mustang,50000,benzin,ford,nein,38350
Volkswagen_Eos_2.0_FSI,9800,cabrio,2006,manuell,150,eos,60000,benzin,volkswagen,nein,47198
Ford_Fiesta_1.4_Ghia_Klima__Scheckheft__Tuev_NEU!!,1990,kleinwagen,2003,manuell,80,fiesta,125000,benzin,ford,nein,13469
Mercedes_Benz_Vito_115_CDI_Extralang_DPF_Aut.,10500,bus,2006,automatik,150,vito,150000,diesel,mercedes_benz,nein,33729
Opel_Astra_J_Design_Edition_1.7_CDTI_ecoflex,11000,limousine,2012,manuell,131,astra,70000,diesel,opel,nein,34613
Opel_Sintra_2.2__7_Sitzer,300,bus,1997,manuell,0,andere,150000,benzin,opel,,24147
Mercedes_Benz_E320_Cdi_/TÜV_05.2017_//Vollaustattung,2390,kombi,2000,automatik,197,e_klasse,150000,diesel,mercedes_benz,nein,27474
Skoda_Fabia_Combi_1.2_TSI_DSG_Style,16449,kombi,2015,automatik,110,fabia,10000,benzin,skoda,nein,95502
BMW_e46_318i_touring,2999,kombi,2001,manuell,0,3er,150000,benzin,bmw,,45891
Skoda_Fabian_Automatik._Kombi_Benziner,3000,,2016,automatik,75,fabia,150000,benzin,skoda,,24782
Audi_A4___1_8_TFSI___Xenon___Scheckheft___51_tkm___TOP_Zustand,14300,limousine,2011,manuell,120,a4,60000,benzin,audi,nein,59494
Volkswagen_Polo_1.4_United_1._Hand,5999,kleinwagen,2009,manuell,80,polo,125000,benzin,volkswagen,nein,65529
Audi_A6_Avant_2.5_TDI_quattro_S_line,3700,kombi,2003,automatik,179,a6,150000,diesel,audi,nein,64846
Volkswagen_Touran_1.9_TDI_DPF_Navi_PDC_Tempomat_AHK_TÜV_Neu,8999,bus,2007,manuell,105,touran,90000,diesel,volkswagen,nein,26689
BMW_530xd_e60_EZ10/2008,14000,limousine,2008,,235,,150000,,bmw,nein,95131
Ford_Mustang_V8_390cui,25000,coupe,1968,automatik,305,mustang,90000,benzin,ford,nein,74547
Audi_80_1.8_in_tadellosem_Zustand._Erst_71.000_km!,2790,limousine,1992,manuell,90,80,80000,benzin,audi,nein,1219
BMW_320i_Facelift,13400,limousine,2008,manuell,170,3er,100000,benzin,bmw,nein,64289
Volkswagen_Golf_Plus_1.6_Goal,4900,bus,2006,manuell,102,golf,150000,benzin,volkswagen,ja,4288
Volkswagen_Golf_R32_4Motion_DSG,11299,limousine,2006,automatik,250,golf,150000,benzin,volkswagen,nein,22083
Golf_1_6_Family,550,andere,1997,manuell,75,golf,150000,benzin,volkswagen,nein,96175
Hyundai_Getz_1.5_CRDi_VGT_GLS,1400,kleinwagen,2006,manuell,88,getz,150000,diesel,hyundai,ja,51147
VW_Polo_Coupe_86c_1990Bj._125193km,1200,coupe,1990,manuell,45,,150000,benzin,volkswagen,,83317
Opel_Insignia_2.0_CDTI_Sports_Tourer_Edition,9500,kombi,2011,manuell,131,insignia,150000,diesel,opel,nein,31832
Volkswagen_Golf_Variant_1.9_TDI_Joker,1800,kombi,1999,manuell,90,golf,150000,diesel,volkswagen,nein,1920
Renault_Twingo_Lazuli_sport_1.2_16V_TÜV_2_jahre,2800,,2018,manuell,75,twingo,125000,,renault,nein,86199
A3_2.0_TDI_Sportback_DPF_quattro,3200,kombi,2006,,0,a3,150000,diesel,audi,nein,41748
***_ACHTUNG_FORD_KA_NEU_TÜV_BIS_04/2087_ZU_VERKAUFEN_***,1350,kleinwagen,2002,manuell,60,ka,150000,benzin,ford,,24103
BMW_530d_Touring_Aut._TOP_Ausstattung!!!_Rabatt_!!,11000,kombi,2006,automatik,231,5er,150000,diesel,bmw,nein,76332
Nissan_Almera,1999,,2016,manuell,110,almera,150000,diesel,nissan,,10997
RENAULT_MEGANE_2.0_TURBO_COUPE_CABRIO_PRIVILEG,6900,cabrio,2006,manuell,163,megane,100000,benzin,renault,nein,84416
BMW_730er_V8_Automatik_aus_3er_Hand_top_fahrbereit__TÜV:07.16!!!,1600,limousine,1996,automatik,0,7er,150000,benzin,bmw,nein,12057
Audi_A6_Avant_2.7_TDI_DPF_multitronic,12999,kombi,2008,automatik,179,a6,150000,diesel,audi,nein,25551
BMW_BMW_535_d_xDrive_M_Sportpaket+Head_Up+Panorama++,18400,kombi,2011,automatik,313,5er,150000,diesel,bmw,nein,52477
Volkswagen_Vento_1.8_CLX,999,limousine,1995,manuell,75,andere,150000,benzin,volkswagen,nein,76597
"Audi_A3_2.0_TDI_Sportback_DPF_S_tronic_Navi_Xenon_19""",12899,kombi,2009,automatik,140,a3,150000,diesel,audi,nein,51109
BMW_318d_DPF,10500,limousine,2010,manuell,143,3er,150000,diesel,bmw,nein,29683
Smart_smart_&_pulse_cdi_TÜV_neu,2250,kleinwagen,2001,,41,fortwo,150000,diesel,smart,nein,78224
Volkswagen_Golf_1.4_Trendline,8500,limousine,2010,manuell,80,golf,50000,benzin,volkswagen,nein,34385
"BMW_130i_LCI_M_Paket_ab_Werk_Xenon_Schiebedach_18""",14900,limousine,2007,manuell,265,1er,150000,benzin,bmw,nein,14129
Golf_3_75PS_Klima_Schiebedach,500,kleinwagen,1994,manuell,75,golf,150000,benzin,volkswagen,nein,23879
VW_Lupo_1_0_l_Tuev_6/2017_viele_Neuteile_verbaut,1200,kleinwagen,2002,manuell,45,lupo,150000,benzin,volkswagen,nein,38707
Audi_A3_1.8_Ambiente,1250,limousine,1996,manuell,125,a3,150000,benzin,audi,nein,63811
VW_Polo_Coupe_86c_in_rot__guter_Zustand__alltagsauto,370,kleinwagen,1992,manuell,54,polo,125000,benzin,volkswagen,nein,30926
A6_Avant_Quattro,1000,kombi,1999,manuell,165,a6,150000,,audi,,50181
AB_SOFORT_Renault_19__Chamade__R19__88PS__Ph2__TÜV_05/17,350,limousine,1993,manuell,88,r19,150000,benzin,renault,nein,6895
BMW_325d_Coupe,8600,coupe,2007,manuell,197,3er,150000,diesel,bmw,nein,72116
Opel_zafira,2100,,2017,manuell,0,zafira,150000,diesel,opel,,24782
Volkswagen_Golf_Cabrio,2222,cabrio,1991,manuell,98,golf,150000,benzin,volkswagen,nein,17495
Caddy_14d_1.6SDI,850,,1985,manuell,54,caddy,150000,diesel,volkswagen,,34471
BMW_325i_Aut.,11800,limousine,2005,automatik,218,3er,150000,benzin,bmw,nein,88255
Ford_C_Max_zu_verkaufen!,4000,bus,2008,manuell,115,c_max,125000,diesel,ford,ja,52525
Mercedes_Benz_CDI_Kombi_Elegance,4650,kombi,2005,automatik,150,c_klasse,150000,diesel,mercedes_benz,,12109
Peugeot_206_1.4i_TÜV_NEU+8_Fach_Bereift+PANORAMADACH+4_TÜRER+,1450,kleinwagen,1999,manuell,75,2_reihe,150000,benzin,peugeot,nein,21423
TÜV_NEU!_Top_Anfaengerauto!_Corsa_1.4,900,,2017,manuell,60,corsa,150000,benzin,opel,nein,33602
